iso3,area_name,area_type,year_latest_value,gdppc,gr_gdppc_P10,gr_gdppc_P5,gr_gdppc_P3,gr_gdppc_P1
TLS,Timor-Leste,country,2023,4331.077925603865,-.00021217002,.0067007407,-.13078023,-.19022475
TON,Tonga,country,2023,7031.320217046881,.016796472,.0041860216,.0023822505,.032273892
TTO,Trinidad and Tobago,country,2023,31196.60355471798,-.019519053,-.015377744,.0051353257,.013399411
TUN,Tunisia,country,2023,12650.96151581659,.00049908692,-.0079067694,.019023284,-.0048187128
TUR,Türkiye,country,2023,35069.17017146847,.038148928,.040317729,.065676443,.046190556
TUV,Tuvalu,country,2023,5315.163010281039,.033218611,.021227801,-.0078523969,.053646058
TZA,United Republic of Tanzania,country,2023,3620.79345703125,.021573991,.013099082,.016254138,.020810075
UGA,Uganda,country,2023,2791.055768858613,.014330243,.01320324,.013877435,.024275837
UKR,Ukraine,country,2023,15916.9580078125,-.01161265,-.012835198,-.023472348,.15448004
UMC,Upper middle income,benchmark,2023,20194.44371954014,.034225248,.031327479,.046670239,.04209495
URY,Uruguay,country,2023,31100.96968898817,.010128618,.0088678235,.038256619,.0084603466
USA,United States of America,country,2023,74351.6718197429,.018388012,.018835159,.033226624,.020911327
UZB,Uzbekistan,country,2023,10514.09557214471,.04252268,.03759237,.047592632,.041888256
VCT,Saint Vincent and the Grenadines,country,2023,17858.24464687023,.026083678,.020450717,.042461734,.060779303
VNM,Viet Nam,country,2023,13534.79978430164,.049810566,.043545943,.045267403,.042762015
VUT,Vanuatu,country,2023,3782.826490294179,.00090496935,-.0086709512,.0099633876,.033977415
WLD,World,world,2023,20894.86637476493,.020115219,.017174043,.035613626,.023168717
WSM,Samoa,country,2023,7384.691636886129,.016609434,.016457427,.030604297,.14487983
XKX,Kosovo,country,2023,14240.20303203646,.048972312,.049423981,.085365862,.093510993
ZAF,South Africa,country,2023,13695.3755694076,-.0069260909,-.012081953,.011066827,-.0052381177
ZMB,Zambia,country,2023,3673.484196992201,.0038437138,.0014504452,.02697053,.024646122
ZWE,Zimbabwe,country,2023,5218.04526596398,.0036429798,-.0074006487,.048436515,.035988007
